Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Conference,Western Conference
,54,28,.659,3.0,110.2,105.3,4.67,2010,Western,Phoenix Suns*
,29,53,.354,28.0,95.7,102.1,-6.01,2010,Western,Los Angeles Clippers
,26,56,.317,31.0,108.8,112.4,-3.28,2010,Western,Golden State Warriors
,25,57,.305,32.0,100.0,104.4,-4.06,2010,Western,Sacramento Kings
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2010,Western,Southwest Division
,55,27,.671,—,102.0,99.3,2.66,2010,Western,Dallas Mavericks*
,50,32,.610,5.0,101.4,96.3,5.07,2010,Western,San Antonio Spurs*
,42,40,.512,13.0,102.4,102.7,-0.02,2010,Western,Houston Rockets
,40,42,.488,15.0,102.5,104.0,-1.39,2010,Western,Memphis Grizzlies
,37,45,.451,18.0,100.2,102.7,-2.27,2010,Western,New Orleans Hornets
Boston Celtics*,56,26,.683,—,96.5,91.1,4.83,2011,Eastern,
New York Knicks*,42,40,.512,14.0,106.5,105.7,0.48,2011,Eastern,
Philadelphia 76ers*,41,41,.500,15.0,99.0,97.5,1.01,2011,Eastern,
New Jersey Nets,24,58,.293,32.0,94.2,100.4,-6.28,2011,Eastern,
Toronto Raptors,22,60,.268,34.0,99.1,105.4,-6.28,2011,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2011,Eastern,
Chicago Bulls*,62,20,.756,—,98.6,91.3,6.53,2011,Eastern,
Indiana Pacers*,37,45,.451,25.0,99.8,100.9,-1.38,2011,Eastern,
Milwaukee Bucks,35,47,.427,27.0,91.9,92.7,-1.02,2011,Eastern,
Detroit Pistons,30,52,.366,32.0,97.0,100.6,-3.78,2011,Eastern,
Cleveland Cavaliers,19,63,.232,43.0,95.5,104.5,-8.88,2011,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2011,Eastern,
Miami Heat*,58,24,.707,—,102.1,94.6,6.76,2011,Eastern,
Orlando Magic*,52,30,.634,6.0,99.2,93.7,4.92,2011,Eastern,
Atlanta Hawks*,44,38,.537,14.0,95.0,95.8,-1.10,2011,Eastern,
Charlotte Bobcats,34,48,.415,24.0,93.3,97.3,-4.08,2011,Eastern,
Washington Wizards,23,59,.280,35.0,97.3,104.7,-7.30,2011,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2011,Western,Northwest Division
,55,27,.671,—,104.8,101.0,3.81,2011,Western,Oklahoma City Thunder*
,50,32,.610,5.0,107.5,102.7,4.81,2011,Western,Denver Nuggets*
,48,34,.585,7.0,96.3,94.8,1.85,2011,Western,Portland Trail Blazers*
,39,43,.476,16.0,99.4,101.3,-1.44,2011,Western,Utah Jazz
,17,65,.207,38.0,101.1,107.7,-5.97,2011,Western,Minnesota Timberwolves
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2011,Western,Pacific Division
,57,25,.695,—,101.5,95.4,6.01,2011,Western,Los Angeles Lakers*
,40,42,.488,17.0,105.0,105.9,-0.46,2011,Western,Phoenix Suns
,36,46,.439,21.0,103.4,105.7,-2.00,2011,Western,Golden State Warriors
,32,50,.390,25.0,98.6,101.8,-2.71,2011,Western,Los Angeles Clippers
,24,58,.293,33.0,99.4,104.7,-4.80,2011,Western,Sacramento Kings
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2011,Western,Southwest Division
,61,21,.744,—,103.7,98.0,5.86,2011,Western,San Antonio Spurs*
,57,25,.695,4.0,100.2,96.0,4.41,2011,Western,Dallas Mavericks*
,46,36,.561,15.0,94.9,94.0,1.28,2011,Western,New Orleans Hornets*
,46,36,.561,15.0,99.9,97.6,2.55,2011,Western,Memphis Grizzlies*
,43,39,.524,18.0,105.9,103.7,2.37,2011,Western,Houston Rockets
Boston Celtics*,39,27,.591,—,91.8,89.3,2.26,2012,Eastern,
New York Knicks*,36,30,.545,3.0,97.8,94.7,2.39,2012,Eastern,
Philadelphia 76ers*,35,31,.530,4.0,93.6,89.4,3.59,2012,Eastern,
Toronto Raptors,23,43,.348,16.0,90.7,94.0,-3.67,2012,Eastern,
New Jersey Nets,22,44,.333,17.0,93.1,99.1,-6.37,2012,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2012,Eastern,
Chicago Bulls*,50,16,.758,—,96.3,88.2,7.43,2012,Eastern,
Indiana Pacers*,42,24,.636,8.0,97.7,94.4,2.60,2012,Eastern,
Milwaukee Bucks,31,35,.470,19.0,99.0,98.7,-0.23,2012,Eastern,
Detroit Pistons,25,41,.379,25.0,90.9,95.7,-5.19,2012,Eastern,
Cleveland Cavaliers,21,45,.318,29.0,93.0,100.2,-7.34,2012,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2012,Eastern,
Miami Heat*,46,20,.697,—,98.5,92.5,5.72,2012,Eastern,
Atlanta Hawks*,40,26,.606,6.0,96.6,93.2,2.67,2012,Eastern,
Orlando Magic*,37,29,.561,9.0,94.2,93.4,0.46,2012,Eastern,
Washington Wizards,20,46,.303,26.0,93.6,98.4,-5.14,2012,Eastern,
Charlotte Bobcats,7,59,.106,39.0,87.0,100.9,-13.96,2012,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2012,Western,Northwest Division
,47,19,.712,—,103.1,96.9,6.44,2012,Western,Oklahoma City Thunder*
,38,28,.576,9.0,104.1,101.2,3.16,2012,Western,Denver Nuggets*
,36,30,.545,11.0,99.7,99.0,0.92,2012,Western,Utah Jazz*
,28,38,.424,19.0,97.2,97.8,-0.22,2012,Western,Portland Trail Blazers
,26,40,.394,21.0,97.9,100.1,-1.83,2012,Western,Minnesota Timberwolves
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2012,Western,Pacific Division
,41,25,.621,—,97.3,95.9,1.96,2012,Western,Los Angeles Lakers*
,40,26,.606,1.0,97.5,95.0,2.82,2012,Western,Los Angeles Clippers*
,33,33,.500,8.0,98.4,98.6,0.29,2012,Western,Phoenix Suns
,23,43,.348,18.0,97.8,101.2,-2.79,2012,Western,Golden State Warriors
,22,44,.333,19.0,98.8,104.4,-4.95,2012,Western,Sacramento Kings
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2012,Western,Southwest Division
,50,16,.758,—,103.7,96.5,7.28,2012,Western,San Antonio Spurs*
,41,25,.621,9.0,95.0,93.0,2.43,2012,Western,Memphis Grizzlies*
,36,30,.545,14.0,95.8,94.8,1.78,2012,Western,Dallas Mavericks*
,34,32,.515,16.0,98.1,97.9,0.57,2012,Western,Houston Rockets
,21,45,.318,29.0,89.6,93.4,-3.11,2012,Western,New Orleans Hornets
New York Knicks*,54,28,.659,—,100.0,95.7,3.73,2013,Eastern,
Brooklyn Nets*,49,33,.598,5.0,96.9,95.1,1.25,2013,Eastern,
Boston Celtics*,41,40,.506,12.5,96.5,96.7,-0.62,2013,Eastern,
Philadelphia 76ers,34,48,.415,20.0,93.2,96.5,-3.51,2013,Eastern,
Toronto Raptors,34,48,.415,20.0,97.2,98.7,-1.96,2013,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2013,Eastern,
Indiana Pacers*,49,32,.605,—,94.7,90.7,3.34,2013,Eastern,
Chicago Bulls*,45,37,.549,4.5,93.2,92.9,-0.02,2013,Eastern,
Milwaukee Bucks*,38,44,.463,11.5,98.9,100.4,-1.83,2013,Eastern,
Detroit Pistons,29,53,.354,20.5,94.9,98.8,-4.33,2013,Eastern,
Cleveland Cavaliers,24,58,.293,25.5,96.5,101.2,-4.87,2013,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2013,Eastern,
Miami Heat*,66,16,.805,—,102.9,95.0,7.03,2013,Eastern,
Atlanta Hawks*,44,38,.537,22.0,98.0,97.5,-0.08,2013,Eastern,
Washington Wizards,29,53,.354,37.0,93.2,95.8,-2.78,2013,Eastern,
Charlotte Bobcats,21,61,.256,45.0,93.4,102.7,-9.29,2013,Eastern,
Orlando Magic,20,62,.244,46.0,94.1,101.1,-7.12,2013,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2013,Western,Northwest Division
,60,22,.732,—,105.7,96.5,9.15,2013,Western,Oklahoma City Thunder*
,57,25,.695,3.0,106.1,101.1,5.37,2013,Western,Denver Nuggets*
,43,39,.524,17.0,98.0,98.1,0.30,2013,Western,Utah Jazz
,33,49,.402,27.0,97.5,100.7,-2.53,2013,Western,Portland Trail Blazers
,31,51,.378,29.0,95.7,98.1,-1.83,2013,Western,Minnesota Timberwolves
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2013,Western,Pacific Division
,56,26,.683,—,101.1,94.6,6.43,2013,Western,Los Angeles Clippers*
,47,35,.573,9.0,101.2,100.3,1.32,2013,Western,Golden State Warriors*
,45,37,.549,11.0,102.2,101.0,1.48,2013,Western,Los Angeles Lakers*
,28,54,.341,28.0,100.2,105.1,-4.26,2013,Western,Sacramento Kings
,25,57,.305,31.0,95.2,101.6,-5.75,2013,Western,Phoenix Suns
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2013,Western,Southwest Division
,58,24,.707,—,103.0,96.6,6.67,2013,Western,San Antonio Spurs*
,56,26,.683,2.0,93.4,89.3,4.32,2013,Western,Memphis Grizzlies*
,45,37,.549,13.0,106.0,102.5,3.69,2013,Western,Houston Rockets*
,41,41,.500,17.0,101.1,101.7,-0.24,2013,Western,Dallas Mavericks
,27,55,.329,31.0,94.1,97.9,-3.12,2013,Western,New Orleans Hornets
Toronto Raptors*,48,34,.585,—,101.3,98.0,2.55,2014,Eastern,
Brooklyn Nets*,44,38,.537,4.0,98.5,99.5,-1.58,2014,Eastern,
New York Knicks,37,45,.451,11.0,98.6,99.4,-1.40,2014,Eastern,
Boston Celtics,25,57,.305,23.0,96.2,100.7,-4.97,2014,Eastern,
Philadelphia 76ers,19,63,.232,29.0,99.5,109.9,-10.66,2014,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2014,Eastern,
Indiana Pacers*,56,26,.683,—,96.7,92.3,3.63,2014,Eastern,
Chicago Bulls*,48,34,.585,8.0,93.7,91.8,1.20,2014,Eastern,
Cleveland Cavaliers,33,49,.402,23.0,98.2,101.5,-3.86,2014,Eastern,
Detroit Pistons,29,53,.354,27.0,101.0,104.7,-4.13,2014,Eastern,
Milwaukee Bucks,15,67,.183,41.0,95.5,103.7,-8.41,2014,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2014,Eastern,
Miami Heat*,54,28,.659,—,102.2,97.4,4.15,2014,Eastern,
Washington Wizards*,44,38,.537,10.0,100.7,99.4,0.48,2014,Eastern,
Charlotte Bobcats*,43,39,.524,11.0,96.9,97.1,-0.89,2014,Eastern,
Atlanta Hawks*,38,44,.463,16.0,101.0,101.5,-0.88,2014,Eastern,
Orlando Magic,23,59,.280,31.0,96.5,102.0,-5.88,2014,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2014,Western,Northwest Division
,59,23,.720,—,106.2,99.8,6.66,2014,Western,Oklahoma City Thunder*
,54,28,.659,5.0,106.7,102.8,4.44,2014,Western,Portland Trail Blazers*
,40,42,.488,19.0,106.9,104.3,3.10,2014,Western,Minnesota Timberwolves
,36,46,.439,23.0,104.4,106.5,-1.40,2014,Western,Denver Nuggets
,25,57,.305,34.0,95.0,102.2,-6.27,2014,Western,Utah Jazz
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2014,Western,Pacific Division
,57,25,.695,—,107.9,101.0,7.27,2014,Western,Los Angeles Clippers*
,51,31,.622,6.0,104.3,99.5,5.15,2014,Western,Golden State Warriors*
,48,34,.585,9.0,105.2,102.6,3.02,2014,Western,Phoenix Suns
,28,54,.341,29.0,100.5,103.4,-2.08,2014,Western,Sacramento Kings
,27,55,.329,30.0,103.0,109.2,-5.33,2014,Western,Los Angeles Lakers
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2014,Western,Southwest Division
,62,20,.756,—,105.4,97.6,8.00,2014,Western,San Antonio Spurs*
,54,28,.659,8.0,107.7,103.1,5.06,2014,Western,Houston Rockets*
,50,32,.610,12.0,96.1,94.6,2.18,2014,Western,Memphis Grizzlies*
,49,33,.598,13.0,104.8,102.4,2.91,2014,Western,Dallas Mavericks*
,34,48,.415,28.0,99.7,102.4,-1.98,2014,Western,New Orleans Pelicans
Toronto Raptors*,49,33,.598,—,104.0,100.9,2.45,2015,Eastern,
Boston Celtics*,40,42,.488,9.0,101.4,101.2,-0.40,2015,Eastern,
Brooklyn Nets*,38,44,.463,11.0,98.0,100.9,-3.13,2015,Eastern,
Philadelphia 76ers,18,64,.220,31.0,92.0,101.0,-9.04,2015,Eastern,
New York Knicks,17,65,.207,32.0,91.9,101.2,-9.50,2015,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2015,Eastern,
Cleveland Cavaliers*,53,29,.646,—,103.1,98.7,4.08,2015,Eastern,
Chicago Bulls*,50,32,.610,3.0,100.8,97.8,2.54,2015,Eastern,
Milwaukee Bucks*,41,41,.500,12.0,97.8,97.4,-0.09,2015,Eastern,
Indiana Pacers,38,44,.463,15.0,97.3,97.0,-0.23,2015,Eastern,
Detroit Pistons,32,50,.390,21.0,98.5,99.5,-1.39,2015,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2015,Eastern,
Atlanta Hawks*,60,22,.732,—,102.5,97.1,4.75,2015,Eastern,
Washington Wizards*,46,36,.561,14.0,98.5,97.8,0.17,2015,Eastern,
Miami Heat,37,45,.451,23.0,94.7,97.3,-2.92,2015,Eastern,
Charlotte Hornets,33,49,.402,27.0,94.2,97.3,-3.44,2015,Eastern,
Orlando Magic,25,57,.305,35.0,95.7,101.4,-5.87,2015,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2015,Western,Northwest Division
,51,31,.622,—,102.8,98.6,4.41,2015,Western,Portland Trail Blazers*
,45,37,.549,6.0,104.0,101.8,2.47,2015,Western,Oklahoma City Thunder
,38,44,.463,13.0,95.1,94.9,0.71,2015,Western,Utah Jazz
,30,52,.366,21.0,101.5,105.0,-3.07,2015,Western,Denver Nuggets
,16,66,.195,35.0,97.8,106.5,-8.00,2015,Western,Minnesota Timberwolves
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2015,Western,Pacific Division
,67,15,.817,—,110.0,99.9,10.01,2015,Western,Golden State Warriors*
,56,26,.683,11.0,106.7,100.1,6.80,2015,Western,Los Angeles Clippers*
,39,43,.476,28.0,102.4,103.3,-0.38,2015,Western,Phoenix Suns
,29,53,.354,38.0,101.3,105.0,-3.07,2015,Western,Sacramento Kings
,21,61,.256,46.0,98.5,105.3,-6.17,2015,Western,Los Angeles Lakers
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2015,Western,Southwest Division
,56,26,.683,—,103.9,100.5,3.82,2015,Western,Houston Rockets*
,55,27,.671,1.0,98.3,95.1,3.62,2015,Western,Memphis Grizzlies*
,55,27,.671,1.0,103.2,97.0,6.34,2015,Western,San Antonio Spurs*
,50,32,.610,6.0,105.2,102.3,3.36,2015,Western,Dallas Mavericks*
,45,37,.549,11.0,99.4,98.6,1.13,2015,Western,New Orleans Pelicans*
Toronto Raptors*,56,26,.683,—,102.7,98.2,4.08,2016,Eastern,
Boston Celtics*,48,34,.585,8.0,105.7,102.5,2.84,2016,Eastern,
New York Knicks,32,50,.390,24.0,98.4,101.1,-2.74,2016,Eastern,
Brooklyn Nets,21,61,.256,35.0,98.6,106.0,-7.12,2016,Eastern,
Philadelphia 76ers,10,72,.122,46.0,97.4,107.6,-9.92,2016,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2016,Eastern,
Cleveland Cavaliers*,57,25,.695,—,104.3,98.3,5.45,2016,Eastern,
Indiana Pacers*,45,37,.549,12.0,102.2,100.5,1.62,2016,Eastern,
Detroit Pistons*,44,38,.537,13.0,102.0,101.4,0.43,2016,Eastern,
Chicago Bulls,42,40,.512,15.0,101.6,103.1,-1.46,2016,Eastern,
Milwaukee Bucks,33,49,.402,24.0,99.0,103.2,-3.98,2016,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2016,Eastern,
Miami Heat*,48,34,.585,—,100.0,98.4,1.50,2016,Eastern,
Atlanta Hawks*,48,34,.585,—,102.8,99.2,3.49,2016,Eastern,
Charlotte Hornets*,48,34,.585,—,103.4,100.7,2.36,2016,Eastern,
Washington Wizards,41,41,.500,7.0,104.1,104.6,-0.50,2016,Eastern,
Orlando Magic,35,47,.427,13.0,102.1,103.7,-1.68,2016,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2016,Western,Northwest Division
,55,27,.671,—,110.2,102.9,7.09,2016,Western,Oklahoma City Thunder*
,44,38,.537,11.0,105.1,104.3,0.98,2016,Western,Portland Trail Blazers*
,40,42,.488,15.0,97.7,95.9,1.84,2016,Western,Utah Jazz
,33,49,.402,22.0,101.9,105.0,-2.81,2016,Western,Denver Nuggets
,29,53,.354,26.0,102.4,106.0,-3.38,2016,Western,Minnesota Timberwolves
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2016,Western,Pacific Division
,73,9,.890,—,114.9,104.1,10.38,2016,Western,Golden State Warriors*
,53,29,.646,20.0,104.5,100.2,4.13,2016,Western,Los Angeles Clippers*
,33,49,.402,40.0,106.6,109.1,-2.32,2016,Western,Sacramento Kings
,23,59,.280,50.0,100.9,107.5,-6.32,2016,Western,Phoenix Suns
,17,65,.207,56.0,97.3,106.9,-8.92,2016,Western,Los Angeles Lakers
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2016,Western,Southwest Division
,67,15,.817,—,103.5,92.9,10.28,2016,Western,San Antonio Spurs*
,42,40,.512,25.0,102.3,102.6,-0.02,2016,Western,Dallas Mavericks*
,42,40,.512,25.0,99.1,101.3,-2.14,2016,Western,Memphis Grizzlies*
,41,41,.500,26.0,106.5,106.4,0.34,2016,Western,Houston Rockets*
,30,52,.366,37.0,102.7,106.5,-3.56,2016,Western,New Orleans Pelicans
Boston Celtics*,53,29,.646,—,108.0,105.4,2.25,2017,Eastern,
Toronto Raptors*,51,31,.622,2.0,106.9,102.6,3.65,2017,Eastern,
New York Knicks,31,51,.378,22.0,104.3,108.0,-3.87,2017,Eastern,
Philadelphia 76ers,28,54,.341,25.0,102.4,108.1,-5.83,2017,Eastern,
Brooklyn Nets,20,62,.244,33.0,105.8,112.5,-6.74,2017,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2017,Eastern,
Cleveland Cavaliers*,51,31,.622,—,110.3,107.2,2.87,2017,Eastern,
Milwaukee Bucks*,42,40,.512,9.0,103.6,103.8,-0.45,2017,Eastern,
Indiana Pacers*,42,40,.512,9.0,105.1,105.3,-0.64,2017,Eastern,
Chicago Bulls*,41,41,.500,10.0,102.9,102.4,0.03,2017,Eastern,
Detroit Pistons,37,45,.451,14.0,101.3,102.5,-1.29,2017,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2017,Eastern,
Washington Wizards*,49,33,.598,—,109.2,107.4,1.36,2017,Eastern,
Atlanta Hawks*,43,39,.524,6.0,103.2,104.0,-1.23,2017,Eastern,
Miami Heat,41,41,.500,8.0,103.2,102.1,0.77,2017,Eastern,
Charlotte Hornets,36,46,.439,13.0,104.9,104.7,-0.07,2017,Eastern,
Orlando Magic,29,53,.354,20.0,101.1,107.6,-6.61,2017,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2017,Western,Northwest Division
,51,31,.622,—,100.7,96.8,4.00,2017,Western,Utah Jazz*
,47,35,.573,4.0,106.6,105.8,1.14,2017,Western,Oklahoma City Thunder*
,41,41,.500,10.0,107.9,108.5,-0.23,2017,Western,Portland Trail Blazers*
,40,42,.488,11.0,111.7,111.2,0.70,2017,Western,Denver Nuggets
,31,51,.378,20.0,105.6,106.7,-0.64,2017,Western,Minnesota Timberwolves
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2017,Western,Pacific Division
,67,15,.817,—,115.9,104.3,11.35,2017,Western,Golden State Warriors*
,51,31,.622,16.0,108.7,104.4,4.42,2017,Western,Los Angeles Clippers*
,32,50,.390,35.0,102.8,106.7,-3.29,2017,Western,Sacramento Kings
,26,56,.317,41.0,104.6,111.5,-6.29,2017,Western,Los Angeles Lakers
,24,58,.293,43.0,107.7,113.3,-5.14,2017,Western,Phoenix Suns
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2017,Western,Southwest Division
,61,21,.744,—,105.3,98.1,7.13,2017,Western,San Antonio Spurs*
,55,27,.671,6.0,115.3,109.6,5.84,2017,Western,Houston Rockets*
,43,39,.524,18.0,100.5,100.0,0.96,2017,Western,Memphis Grizzlies*
,34,48,.415,27.0,104.3,106.4,-1.69,2017,Western,New Orleans Pelicans
,33,49,.402,28.0,97.9,100.8,-2.53,2017,Western,Dallas Mavericks
Toronto Raptors*,59,23,.720,—,111.7,103.9,7.29,2018,Eastern,
Boston Celtics*,55,27,.671,4.0,104.0,100.4,3.23,2018,Eastern,
Philadelphia 76ers*,52,30,.634,7.0,109.8,105.3,4.30,2018,Eastern,
New York Knicks,29,53,.354,30.0,104.5,108.0,-3.53,2018,Eastern,
Brooklyn Nets,28,54,.341,31.0,106.6,110.3,-3.67,2018,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2018,Eastern,
Cleveland Cavaliers*,50,32,.610,—,110.9,109.9,0.59,2018,Eastern,
Indiana Pacers*,48,34,.585,2.0,105.6,104.2,1.18,2018,Eastern,
Milwaukee Bucks*,44,38,.537,6.0,106.5,106.8,-0.45,2018,Eastern,
Detroit Pistons,39,43,.476,11.0,103.8,103.9,-0.26,2018,Eastern,
Chicago Bulls,27,55,.329,23.0,102.9,110.0,-6.84,2018,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2018,Eastern,
Miami Heat*,44,38,.537,—,103.4,102.9,0.15,2018,Eastern,
Washington Wizards*,43,39,.524,1.0,106.6,106.0,0.53,2018,Eastern,
Charlotte Hornets,36,46,.439,8.0,108.2,108.0,0.07,2018,Eastern,
Orlando Magic,25,57,.305,19.0,103.4,108.2,-4.92,2018,Eastern,
Atlanta Hawks,24,58,.293,20.0,103.4,108.8,-5.30,2018,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2018,Western,Northwest Division
,49,33,.598,—,105.6,103.0,2.60,2018,Western,Portland Trail Blazers*
,48,34,.585,1.0,107.9,104.4,3.42,2018,Western,Oklahoma City Thunder*
,48,34,.585,1.0,104.1,99.8,4.47,2018,Western,Utah Jazz*
,47,35,.573,2.0,109.5,107.3,2.35,2018,Western,Minnesota Timberwolves*
,46,36,.561,3.0,110.0,108.5,1.57,2018,Western,Denver Nuggets
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2018,Western,Pacific Division
,58,24,.707,—,113.5,107.5,5.79,2018,Western,Golden State Warriors*
,42,40,.512,16.0,109.0,109.0,0.15,2018,Western,Los Angeles Clippers
,35,47,.427,23.0,108.1,109.6,-1.44,2018,Western,Los Angeles Lakers
,27,55,.329,31.0,98.8,105.8,-6.60,2018,Western,Sacramento Kings
,21,61,.256,37.0,103.9,113.3,-8.80,2018,Western,Phoenix Suns
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2018,Western,Southwest Division
,65,17,.793,—,112.4,103.9,8.21,2018,Western,Houston Rockets*
,48,34,.585,17.0,111.7,110.4,1.48,2018,Western,New Orleans Pelicans*
,47,35,.573,18.0,102.7,99.8,2.89,2018,Western,San Antonio Spurs*
,24,58,.293,41.0,102.3,105.4,-2.70,2018,Western,Dallas Mavericks
,22,60,.268,43.0,99.3,105.5,-5.81,2018,Western,Memphis Grizzlies
Toronto Raptors*,58,24,.707,—,114.4,108.4,5.49,2019,Eastern,
Philadelphia 76ers*,51,31,.622,7.0,115.2,112.5,2.25,2019,Eastern,
Boston Celtics*,49,33,.598,9.0,112.4,108.0,3.90,2019,Eastern,
Brooklyn Nets*,42,40,.512,16.0,112.2,112.3,-0.40,2019,Eastern,
New York Knicks,17,65,.207,41.0,104.6,113.8,-8.93,2019,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2019,Eastern,
Milwaukee Bucks*,60,22,.732,—,118.1,109.3,8.04,2019,Eastern,
Indiana Pacers*,48,34,.585,12.0,108.0,104.7,2.76,2019,Eastern,
Detroit Pistons*,41,41,.500,19.0,107.0,107.3,-0.56,2019,Eastern,
Chicago Bulls,22,60,.268,38.0,104.9,113.4,-8.32,2019,Eastern,
Cleveland Cavaliers,19,63,.232,41.0,104.5,114.1,-9.39,2019,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2019,Eastern,
Orlando Magic*,42,40,.512,—,107.3,106.6,0.28,2019,Eastern,
Charlotte Hornets,39,43,.476,3.0,110.7,111.8,-1.32,2019,Eastern,
Miami Heat,39,43,.476,3.0,105.7,105.9,-0.45,2019,Eastern,
Washington Wizards,32,50,.390,10.0,114.0,116.9,-3.30,2019,Eastern,
Atlanta Hawks,29,53,.354,13.0,113.3,119.4,-6.06,2019,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2019,Western,Northwest Division
,54,28,.659,—,110.7,106.7,4.19,2019,Western,Denver Nuggets*
,53,29,.646,1.0,114.7,110.5,4.43,2019,Western,Portland Trail Blazers*
,50,32,.610,4.0,111.7,106.5,5.28,2019,Western,Utah Jazz*
,49,33,.598,5.0,114.5,111.1,3.56,2019,Western,Oklahoma City Thunder*
,36,46,.439,18.0,112.5,114.0,-1.02,2019,Western,Minnesota Timberwolves
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2019,Western,Pacific Division
,57,25,.695,—,117.7,111.2,6.42,2019,Western,Golden State Warriors*
,48,34,.585,9.0,115.1,114.3,1.09,2019,Western,Los Angeles Clippers*
,39,43,.476,18.0,114.2,115.3,-0.81,2019,Western,Sacramento Kings
